call_number,cf1,fm1,fm2,cf2
0,0.004804,0.001052,0.002144,
1,0.004764,0.001032,0.001204,
2,0.004884,0.001052,0.002064,
3,0.004832,0.001032,0.001136,
4,0.005044,0.001052,0.001904,
5,0.0049,0.001032,0.001068,
6,0.005012,0.001864,0.002124,
7,0.004884,0.001932,0.001184,
8,0.0051,0.001864,0.002036,
9,0.00496,0.001932,0.001108,
10,0.005364,0.001864,0.001772,
11,0.004964,0.001932,0.001104,
12,0.004724,0.001132,0.002144,
13,0.004628,0.001168,0.001204,
14,0.004804,0.001132,0.002064,
15,0.004696,0.001168,0.001136,
16,0.004964,0.001132,0.001904,
17,0.004764,0.001168,0.001068,
18,0.00484,0.002036,0.002124,
19,0.004724,0.002092,0.001184,
20,0.004928,0.002036,0.002036,
21,0.0048,0.002092,0.001108,
22,0.005192,0.002036,0.001772,
23,0.004804,0.002092,0.001104,
24,0.00472,0.001136,0.002144,
25,0.004628,0.001168,0.001204,
26,0.0048,0.001136,0.002064,
27,0.004696,0.001168,0.001136,
28,0.00496,0.001136,0.001904,
29,0.004764,0.001168,0.001068,
30,0.004748,0.002128,0.002124,
31,0.00472,0.002096,0.001184,
32,0.004836,0.002128,0.002036,
33,0.004796,0.002096,0.001108,
34,0.0051,0.002128,0.001772,
35,0.0048,0.002096,0.001104,
36,0.004804,0.001052,0.002144,
37,0.004764,0.001032,0.001204,
38,0.004884,0.001052,0.002064,
39,0.004832,0.001032,0.001136,
40,0.005044,0.001052,0.001904,
41,0.0049,0.001032,0.001068,
42,0.005012,0.001864,0.002124,
43,0.004884,0.001932,0.001184,
44,0.0051,0.001864,0.002036,
45,0.00496,0.001932,0.001108,
46,0.005364,0.001864,0.001772,
47,0.004964,0.001932,0.001104,
48,0.004724,0.001132,0.002144,
49,0.004628,0.001168,0.001204,
50,0.004804,0.001132,0.002064,
51,0.004696,0.001168,0.001136,
52,0.004964,0.001132,0.001904,
53,0.004764,0.001168,0.001068,
54,0.00484,0.002036,0.002124,
55,0.004724,0.002092,0.001184,
56,0.004928,0.002036,0.002036,
57,0.0048,0.002092,0.001108,
58,0.005192,0.002036,0.001772,
59,0.004804,0.002092,0.001104,
60,0.00472,0.001136,0.002144,
61,0.004628,0.001168,0.001204,
62,0.0048,0.001136,0.002064,
63,0.004696,0.001168,0.001136,
64,0.00496,0.001136,0.001904,
65,0.004764,0.001168,0.001068,
66,0.004748,0.002128,0.002124,
67,0.00472,0.002096,0.001184,
68,0.004836,0.002128,0.002036,
69,0.004796,0.002096,0.001108,
70,0.0051,0.002128,0.001772,
71,0.0048,0.002096,0.001104,
72,0.004804,0.001052,0.002144,
73,0.004764,0.001032,0.001204,
74,0.004884,0.001052,0.002064,
75,0.004832,0.001032,0.001136,
76,0.005044,0.001052,0.001904,
77,0.0049,0.001032,0.001068,
78,0.005012,0.001864,0.002124,
79,6e-05,0.001872,0.001184,0.004884
80,0.0051,0.001864,0.002036,
81,6e-05,0.001872,0.001108,0.00496
82,0.005364,0.001864,0.001772,
83,0.004964,0.001932,0.001104,
84,0.004724,0.001132,0.002144,
85,0.004628,0.001168,0.001204,
86,0.004804,0.001132,0.002064,
87,0.004696,0.001168,0.001136,
88,0.004964,0.001132,0.001904,
89,0.004764,0.001168,0.001068,
90,0.00484,0.002036,0.002124,
91,0.004724,0.002092,0.001184,
92,0.004928,0.002036,0.002036,
93,0.0048,0.002092,0.001108,
94,0.005192,0.002036,0.001772,
95,0.004804,0.002092,0.001104,
96,0.00472,0.001136,0.002144,
97,0.004628,0.001168,0.001204,
98,0.0048,0.001136,0.002064,
99,0.004696,0.001168,0.001136,
100,0.00496,0.001136,0.001904,
101,0.004764,0.001168,0.001068,
102,0.004748,0.002128,0.002124,
103,0.00472,0.002096,0.001184,
104,0.004836,0.002128,0.002036,
105,0.004796,0.002096,0.001108,
106,0.0051,0.002128,0.001772,
107,0.0048,0.002096,0.001104,
108,0.009852,0.00104,0.002108,
109,0.00972,0.001092,0.001188,
110,0.009856,0.00104,0.002104,
111,0.009724,0.001092,0.001184,
112,0.010112,0.00104,0.001848,
113,0.009844,0.001092,0.001064,
114,0.010076,0.001836,0.002088,
115,0.00986,0.001932,0.001208,
116,0.01008,0.001836,0.002084,
117,0.009984,0.001932,0.001084,
118,0.01022,0.001836,0.001944,
119,0.009988,0.001932,0.00108,
120,0.009728,0.001164,0.002108,
121,0.009716,0.001096,0.001188,
122,0.009732,0.001164,0.002104,
123,0.00972,0.001096,0.001184,
124,0.009988,0.001164,0.001848,
125,0.00984,0.001096,0.001064,
126,0.0098,0.002112,0.002088,
127,0.009732,0.00206,0.001208,
128,0.009804,0.002112,0.002084,
129,0.009856,0.00206,0.001084,
130,0.009944,0.002112,0.001944,
131,0.00986,0.00206,0.00108,
132,0.009724,0.001168,0.002108,
133,0.0096,0.001212,0.001188,
134,0.009728,0.001168,0.002104,
135,0.009604,0.001212,0.001184,
136,0.009984,0.001168,0.001848,
137,0.009724,0.001212,0.001064,
138,0.009796,0.002116,0.002088,
139,0.009728,0.002064,0.001208,
140,0.0098,0.002116,0.002084,
141,0.009852,0.002064,0.001084,
142,0.00994,0.002116,0.001944,
143,0.009856,0.002064,0.00108,
144,0.009852,0.00104,0.002108,
145,0.00972,0.001092,0.001188,
146,0.009856,0.00104,0.002104,
147,0.009724,0.001092,0.001184,
148,0.010112,0.00104,0.001848,
149,0.009844,0.001092,0.001064,
150,0.010076,0.001836,0.002088,
151,0.00986,0.001932,0.001208,
152,0.01008,0.001836,0.002084,
153,0.009984,0.001932,0.001084,
154,0.01022,0.001836,0.001944,
155,0.009988,0.001932,0.00108,
156,0.009728,0.001164,0.002108,
157,0.009716,0.001096,0.001188,
158,0.009732,0.001164,0.002104,
159,0.00972,0.001096,0.001184,
160,0.009988,0.001164,0.001848,
161,0.00984,0.001096,0.001064,
162,0.0098,0.002112,0.002088,
163,0.009732,0.00206,0.001208,
164,0.009804,0.002112,0.002084,
165,0.009856,0.00206,0.001084,
166,0.009944,0.002112,0.001944,
167,0.00986,0.00206,0.00108,
168,0.009724,0.001168,0.002108,
169,0.0096,0.001212,0.001188,
170,0.009728,0.001168,0.002104,
171,0.009604,0.001212,0.001184,
172,0.009984,0.001168,0.001848,
173,0.009724,0.001212,0.001064,
174,0.009796,0.002116,0.002088,
175,0.009728,0.002064,0.001208,
176,0.0098,0.002116,0.002084,
177,0.009852,0.002064,0.001084,
178,0.00994,0.002116,0.001944,
179,0.009856,0.002064,0.00108,
180,0.009852,0.00104,0.002108,
181,0.00972,0.001092,0.001188,
182,0.009856,0.00104,0.002104,
183,0.009724,0.001092,0.001184,
184,0.010112,0.00104,0.001848,
185,0.009844,0.001092,0.001064,
186,0.010076,0.001836,0.002088,
187,0.00986,0.001932,0.001208,
188,0.01008,0.001836,0.002084,
189,0.009984,0.001932,0.001084,
190,0.01022,0.001836,0.001944,
191,0.009988,0.001932,0.00108,
192,0.009728,0.001164,0.002108,
193,0.009716,0.001096,0.001188,
194,0.009732,0.001164,0.002104,
195,0.00972,0.001096,0.001184,
196,0.009988,0.001164,0.001848,
197,0.00984,0.001096,0.001064,
198,0.0098,0.002112,0.002088,
199,0.009732,0.00206,0.001208,
200,0.009804,0.002112,0.002084,
201,0.009856,0.00206,0.001084,
202,0.009944,0.002112,0.001944,
203,0.00986,0.00206,0.00108,
204,0.009724,0.001168,0.002108,
205,0.0096,0.001212,0.001188,
206,0.009728,0.001168,0.002104,
207,0.009604,0.001212,0.001184,
208,0.009984,0.001168,0.001848,
209,0.009724,0.001212,0.001064,
210,0.009796,0.002116,0.002088,
211,0.009728,0.002064,0.001208,
212,0.0098,0.002116,0.002084,
213,0.009852,0.002064,0.001084,
214,0.00994,0.002116,0.001944,
215,0.009856,0.002064,0.00108,
216,0.014784,0.001068,0.002144,
217,0.01478,0.001024,0.001192,
218,0.01496,0.001068,0.001968,
219,0.014784,0.001024,0.001188,
220,0.015136,0.001068,0.001792,
221,0.014948,0.001024,0.001024,
222,0.01504,0.001892,0.002064,
223,0.01496,0.001948,0.001088,
224,0.015044,0.001892,0.00206,
225,0.01496,0.001948,0.001088,
226,0.015232,0.001892,0.001872,
227,0.014964,0.001948,0.001084,
228,0.01478,0.001072,0.002144,
229,0.014616,0.001188,0.001192,
230,0.014956,0.001072,0.001968,
231,0.01462,0.001188,0.001188,
232,0.015132,0.001072,0.001792,
233,0.014784,0.001188,0.001024,
234,0.014852,0.00208,0.002064,
235,0.014784,0.002124,0.001088,
236,0.014856,0.00208,0.00206,
237,0.014784,0.002124,0.001088,
238,0.015044,0.00208,0.001872,
239,0.014788,0.002124,0.001084,
240,0.014608,0.001244,0.002144,
241,0.014612,0.001192,0.001192,
242,0.014784,0.001244,0.001968,
243,0.014616,0.001192,0.001188,
244,0.01496,0.001244,0.001792,
245,0.01478,0.001192,0.001024,
246,0.014848,0.002084,0.002064,
247,0.01478,0.002128,0.001088,
248,0.014852,0.002084,0.00206,
249,0.01478,0.002128,0.001088,
250,0.01504,0.002084,0.001872,
251,0.014784,0.002128,0.001084,
252,0.014784,0.001068,0.002144,
253,0.01478,0.001024,0.001192,
254,0.01496,0.001068,0.001968,
255,0.014784,0.001024,0.001188,
256,0.015136,0.001068,0.001792,
257,0.014948,0.001024,0.001024,
258,0.01504,0.001892,0.002064,
259,0.01496,0.001948,0.001088,
260,0.015044,0.001892,0.00206,
261,0.01496,0.001948,0.001088,
262,0.015232,0.001892,0.001872,
263,0.014964,0.001948,0.001084,
264,0.01478,0.001072,0.002144,
265,0.014616,0.001188,0.001192,
266,0.014956,0.001072,0.001968,
267,0.01462,0.001188,0.001188,
268,0.015132,0.001072,0.001792,
269,0.014784,0.001188,0.001024,
270,0.014852,0.00208,0.002064,
271,0.014956,0.001952,0.001088,
272,0.014856,0.00208,0.00206,
273,0.014956,0.001952,0.001088,
274,0.015044,0.00208,0.001872,
275,0.01496,0.001952,0.001084,
276,0.014608,0.001244,0.002144,
277,0.014612,0.001192,0.001192,
278,0.014784,0.001244,0.001968,
279,0.014616,0.001192,0.001188,
280,0.01496,0.001244,0.001792,
281,0.01478,0.001192,0.001024,
282,0.014848,0.002084,0.002064,
283,0.01478,0.002128,0.001088,
284,0.014852,0.002084,0.00206,
285,0.01478,0.002128,0.001088,
286,0.01504,0.002084,0.001872,
287,0.014784,0.002128,0.001084,
288,0.014784,0.001068,0.002144,
289,0.01478,0.001024,0.001192,
290,0.01496,0.001068,0.001968,
291,0.014784,0.001024,0.001188,
292,0.015136,0.001068,0.001792,
293,0.014948,0.001024,0.001024,
294,0.01504,0.001892,0.002064,
295,0.01496,0.001776,0.00126,
296,0.015044,0.001892,0.00206,
297,0.015132,0.001776,0.001088,
298,0.015232,0.001892,0.001872,
299,0.015136,0.001776,0.001084,
300,0.01478,0.001072,0.002144,
301,0.014616,0.001188,0.001192,
302,0.014956,0.001072,0.001968,
303,0.01462,0.001188,0.001188,
304,0.015132,0.001072,0.001792,
305,0.014784,0.001188,0.001024,
306,0.014852,0.00208,0.002064,
307,0.014612,0.002124,0.00126,
308,0.014856,0.00208,0.00206,
309,0.014784,0.002124,0.001088,
310,0.015044,0.00208,0.001872,
311,0.014788,0.002124,0.001084,
312,0.014608,0.001244,0.002144,
313,0.014612,0.001192,0.001192,
314,0.014784,0.001244,0.001968,
315,0.014616,0.001192,0.001188,
316,0.01496,0.001244,0.001792,
317,0.01478,0.001192,0.001024,
318,0.014848,0.002084,0.002064,
319,0.014608,0.002128,0.00126,
320,0.014852,0.002084,0.00206,
321,0.01478,0.002128,0.001088,
322,0.01504,0.002084,0.001872,
323,0.014784,0.002128,0.001084,
