call_number,cf1,fm1,fm2,cf2,fm3,cf3,fm4
0,0.004504,0.001196,0.0023,,,,
1,0.004612,0.001068,0.00132,,,,
2,0.004604,0.001196,0.0022,,,,
3,0.004708,0.001068,0.001224,,,,
4,0.004752,0.001196,0.002052,,,,
5,0.00486,0.001068,0.001072,,,,
6,0.004792,0.001948,0.00226,,,,
7,0.004704,0.001948,0.001348,,,,
8,0.004916,0.001948,0.002136,,,,
9,0.004792,0.001948,0.00126,,,,
10,0.005096,0.001948,0.001956,,,,
11,0.004916,0.001948,0.001136,,,,
12,0.00448,0.00126,0.00226,,,,
13,0.004392,0.00126,0.001348,,,,
14,0.004604,0.00126,0.002136,,,,
15,0.00448,0.00126,0.00126,,,,
16,0.004784,0.00126,0.001956,,,,
17,0.004604,0.00126,0.001136,,,,
18,0.004608,0.002132,0.00226,,,,
19,0.00452,0.002132,0.001348,,,,
20,0.004732,0.002132,0.002136,,,,
21,0.004608,0.002132,0.00126,,,,
22,0.004912,0.002132,0.001956,,,,
23,0.004732,0.002132,0.001136,,,,
24,4e-06,0.001336,4e-06,0.004396,0.00226,,
25,4e-06,0.001336,4e-06,0.004308,0.001348,,
26,4e-06,0.001336,4e-06,0.00452,0.002136,,
27,4e-06,0.001336,4e-06,0.004396,0.00126,,
28,4e-06,0.001336,4e-06,0.0047,0.001956,,
29,4e-06,0.001336,4e-06,0.00452,0.001136,,
30,0.00448,0.00226,0.00226,,,,
31,0.004392,0.00226,0.001348,,,,
32,0.004604,0.00226,0.002136,,,,
33,0.00448,0.00226,0.00126,,,,
34,0.004784,0.00226,0.001956,,,,
35,0.004604,0.00226,0.001136,,,,
36,0.004844,0.000988,0.002168,,,,
37,0.00474,0.00098,0.00128,,,,
38,0.00502,0.000988,0.001992,,,,
39,0.004856,0.00098,0.001164,,,,
40,0.005264,0.000988,0.001748,,,,
41,0.005036,0.00098,0.000984,,,,
42,0.004988,0.001816,0.002196,,,,
43,0.00488,0.001816,0.001304,,,,
44,0.005144,0.001816,0.00204,,,,
45,0.004988,0.001816,0.001196,,,,
46,0.005364,0.001816,0.00182,,,,
47,0.005144,0.001816,0.00104,,,,
48,0.004612,0.001192,0.002196,,,,
49,0.004504,0.001192,0.001304,,,,
50,0.004768,0.001192,0.00204,,,,
51,0.004612,0.001192,0.001196,,,,
52,0.004988,0.001192,0.00182,,,,
53,0.004768,0.001192,0.00104,,,,
54,0.004768,0.002036,0.002196,,,,
55,0.00466,0.002036,0.001304,,,,
56,0.004924,0.002036,0.00204,,,,
57,0.004768,0.002036,0.001196,,,,
58,0.005144,0.002036,0.00182,,,,
59,0.004924,0.002036,0.00104,,,,
60,0.004504,0.0013,0.002196,,,,
61,0.004396,0.0013,0.001304,,,,
62,0.00466,0.0013,0.00204,,,,
63,0.004504,0.0013,0.001196,,,,
64,0.00488,0.0013,0.00182,,,,
65,0.00466,0.0013,0.00104,,,,
66,0.004608,0.002196,0.002196,,,,
67,0.0045,0.002196,0.001304,,,,
68,0.00476,0.002196,0.002044,,,,
69,0.004608,0.002196,0.001196,,,,
70,0.004984,0.002196,0.00182,,,,
71,0.00476,0.002196,0.001044,,,,
72,0.005024,0.000876,0.0021,,,,
73,0.004888,0.000872,0.00124,,,,
74,0.005244,0.000876,0.00188,,,,
75,0.005036,0.000872,0.001092,,,,
76,0.005528,0.000876,0.001596,,,,
77,0.005252,0.000872,0.000876,,,,
78,0.00522,0.001652,0.002128,,,,
79,0.005092,0.001652,0.001256,,,,
80,0.00542,0.001652,0.001928,,,,
81,0.00522,0.001652,0.001128,,,,
82,0.005692,0.001652,0.001656,,,,
83,0.00542,0.001652,0.000928,,,,
84,0.004748,0.001124,0.002128,,,,
85,0.00462,0.001124,0.001256,,,,
86,0.004948,0.001124,0.001928,,,,
87,0.004748,0.001124,0.001128,,,,
88,0.00522,0.001124,0.001656,,,,
89,0.004948,0.001124,0.000928,,,,
90,0.004948,0.001924,0.002128,,,,
91,0.00482,0.001924,0.001256,,,,
92,0.005148,0.001924,0.001928,,,,
93,0.004948,0.001924,0.001128,,,,
94,0.00542,0.001924,0.001656,,,,
95,0.005148,0.001924,0.000928,,,,
96,0.00462,0.001252,0.002128,,,,
97,0.004492,0.001252,0.001256,,,,
98,0.00482,0.001252,0.001928,,,,
99,0.00462,0.001252,0.001128,,,,
100,0.005092,0.001252,0.001656,,,,
101,0.00482,0.001252,0.000928,,,,
102,0.004748,0.002124,0.002128,,,,
103,0.00462,0.002124,0.001256,,,,
104,0.004948,0.002124,0.001928,,,,
105,0.004748,0.002124,0.001128,,,,
106,0.00522,0.002124,0.001656,,,,
107,0.004948,0.002124,0.000928,,,,
108,0.00954,0.001172,0.002288,,,,
109,0.00958,0.001092,0.001328,,,,
110,0.009652,0.001172,0.002176,,,,
111,0.009672,0.001092,0.001236,,,,
112,0.009816,0.001172,0.002012,,,,
113,0.009812,0.001092,0.001096,,,,
114,0.009792,0.001948,0.00226,,,,
115,0.009704,0.001948,0.001348,,,,
116,0.009916,0.001948,0.002136,,,,
117,0.009792,0.001948,0.00126,,,,
118,0.010096,0.001948,0.001956,,,,
119,0.009916,0.001948,0.001136,,,,
120,0.00948,0.00126,0.00226,,,,
121,0.009392,0.00126,0.001348,,,,
122,0.009604,0.00126,0.002136,,,,
123,0.00948,0.00126,0.00126,,,,
124,0.009784,0.00126,0.001956,,,,
125,0.009604,0.00126,0.001136,,,,
126,0.009608,0.002132,0.00226,,,,
127,0.00952,0.002132,0.001348,,,,
128,0.009732,0.002132,0.002136,,,,
129,0.009608,0.002132,0.00126,,,,
130,0.009912,0.002132,0.001956,,,,
131,0.009732,0.002132,0.001136,,,,
132,4e-06,0.001336,4e-06,0.009396,0.00226,,
133,4e-06,0.001336,4e-06,0.009308,0.001348,,
134,4e-06,0.001336,4e-06,0.00952,0.002136,,
135,4e-06,0.001336,4e-06,0.009396,0.00126,,
136,4e-06,0.001336,4e-06,0.0097,0.001956,,
137,4e-06,0.001336,4e-06,0.00952,0.001136,,
138,0.00948,0.00226,0.00226,,,,
139,0.009392,0.00226,0.001348,,,,
140,0.009604,0.00226,0.002136,,,,
141,0.00948,0.00226,0.00126,,,,
142,0.009784,0.00226,0.001956,,,,
143,0.009604,0.00226,0.001136,,,,
144,0.009832,0.000988,0.00218,,,,
145,0.009716,0.000996,0.001288,,,,
146,0.01,0.000988,0.002012,,,,
147,0.009824,0.000996,0.00118,,,,
148,0.010236,0.000988,0.001776,,,,
149,0.01,0.000996,0.001004,,,,
150,0.009988,0.001816,0.002196,,,,
151,0.00988,0.001816,0.001304,,,,
152,0.010144,0.001816,0.00204,,,,
153,0.009988,0.001816,0.001196,,,,
154,0.010364,0.001816,0.00182,,,,
155,0.010148,0.001816,0.001036,,,,
156,0.009612,0.001192,0.002196,,,,
157,0.009504,0.001192,0.001304,,,,
158,0.009768,0.001192,0.00204,,,,
159,0.009612,0.001192,0.001196,,,,
160,0.009988,0.001192,0.00182,,,,
161,0.009768,0.001192,0.00104,,,,
162,0.009768,0.002036,0.002196,,,,
163,0.00966,0.002036,0.001304,,,,
164,0.009924,0.002036,0.00204,,,,
165,0.009768,0.002036,0.001196,,,,
166,0.010144,0.002036,0.00182,,,,
167,0.009928,0.002036,0.001036,,,,
168,0.009504,0.0013,0.002196,,,,
169,0.009396,0.0013,0.001304,,,,
170,0.00966,0.0013,0.00204,,,,
171,0.009504,0.0013,0.001196,,,,
172,0.00988,0.0013,0.00182,,,,
173,0.00966,0.0013,0.00104,,,,
174,0.009608,0.002196,0.002196,,,,
175,0.0095,0.002196,0.001304,,,,
176,0.00976,0.002196,0.002044,,,,
177,0.009608,0.002196,0.001196,,,,
178,0.009984,0.002196,0.00182,,,,
179,0.009768,0.002196,0.001036,,,,
180,0.010096,0.000792,0.002112,,,,
181,0.00992,0.000836,0.001244,,,,
182,0.010312,0.000792,0.001896,,,,
183,0.01006,0.000836,0.001104,,,,
184,0.010588,0.000792,0.00162,,,,
185,0.01032,0.000836,0.000844,,,,
186,0.01022,0.001652,0.002128,,,,
187,0.010092,0.001652,0.001256,,,,
188,0.01042,0.001652,0.001928,,,,
189,0.01022,0.001652,0.001128,,,,
190,0.010692,0.001652,0.001656,,,,
191,0.010484,0.001652,0.000864,,,,
192,0.009748,0.001124,0.002128,,,,
193,0.00962,0.001124,0.001256,,,,
194,0.009948,0.001124,0.001928,,,,
195,0.009748,0.001124,0.001128,,,,
196,0.01022,0.001124,0.001656,,,,
197,0.009984,0.001124,0.000892,,,,
198,0.009948,0.001924,0.002128,,,,
199,0.00982,0.001924,0.001256,,,,
200,0.010148,0.001924,0.001928,,,,
201,0.009948,0.001924,0.001128,,,,
202,0.01042,0.001924,0.001656,,,,
203,0.010212,0.001924,0.000864,,,,
204,0.00962,0.001252,0.002128,,,,
205,0.009492,0.001252,0.001256,,,,
206,0.00982,0.001252,0.001928,,,,
207,0.00962,0.001252,0.001128,,,,
208,0.010092,0.001252,0.001656,,,,
209,0.009852,0.001252,0.000896,,,,
210,0.009748,0.002124,0.002128,,,,
211,0.00962,0.002124,0.001256,,,,
212,0.009948,0.002124,0.001928,,,,
213,0.009748,0.002124,0.001128,,,,
214,0.01022,0.002124,0.001656,,,,
215,0.010012,0.002124,0.000864,,,,
216,0.014724,0.001024,0.002248,,,,
217,0.0146,0.001064,0.001332,,,,
218,0.014856,0.001024,0.002116,,,,
219,0.014688,0.001064,0.001244,,,,
220,0.015052,0.001024,0.00192,,,,
221,0.014864,0.001064,0.001068,,,,
222,0.014772,0.001956,4e-06,4e-06,0.00226,,
223,0.014696,0.001956,0.001344,,,,
224,0.014896,0.001956,0.002144,,,,
225,0.01478,0.001956,0.00126,,,,
226,0.015084,0.001956,0.001956,,,,
227,0.014952,0.001956,0.001088,,,,
228,0.014472,0.001256,4e-06,4e-06,0.00226,,
229,0.014388,0.00126,0.001348,,,,
230,0.014596,0.001256,0.002144,,,,
231,0.014476,0.00126,0.00126,,,,
232,0.014784,0.001256,0.001956,,,,
233,0.01462,0.00126,0.001116,,,,
234,0.014596,0.002132,4e-06,4e-06,0.00226,,
235,0.01452,0.002132,0.001344,,,,
236,0.01472,0.002132,0.002144,,,,
237,0.014604,0.002132,0.00126,,,,
238,0.014908,0.002132,0.001956,,,,
239,0.014776,0.002132,0.001088,,,,
240,0.014384,0.001344,0.002268,,,,
241,0.014304,0.001344,0.001348,,,,
242,0.014508,0.001344,0.002144,,,,
243,0.014384,0.001344,4e-06,4e-06,0.00126,,
244,0.014696,0.001344,0.001956,,,,
245,0.014536,0.001344,0.001116,,,,
246,0.014468,0.00226,0.002268,,,,
247,0.014392,0.00226,0.001344,,,,
248,0.014592,0.00226,0.002144,,,,
249,0.01448,0.00226,0.001256,,,,
250,0.01478,0.00226,0.001956,,,,
251,0.014648,0.00226,0.001088,,,,
252,0.01518,0.000624,0.002192,,,,
253,0.015072,0.000628,0.001296,,,,
254,0.015348,0.000624,0.002024,,,,
255,0.015192,0.000628,0.001176,,,,
256,0.015576,0.000624,0.001796,,,,
257,0.015736,0.000628,0.000632,,,,
258,0.014972,0.001824,0.0022,,,,
259,0.014868,0.001824,0.001304,,,,
260,0.015124,0.001824,0.002048,,,,
261,0.014988,0.001824,0.001184,,,,
262,0.015348,0.001824,0.001824,,,,
263,0.015524,0.001824,0.000648,,,,
264,0.014612,0.001184,0.0022,,,,
265,0.0145,0.001192,0.001304,,,,
266,0.014764,0.001184,0.002048,,,,
267,0.014612,0.001192,0.001192,,,,
268,0.014988,0.001184,0.001824,,,,
269,0.014924,0.001192,0.000156,4e-06,4e-06,6.4e-05,0.000652
270,0.014756,0.00204,0.0022,,,,
271,0.014652,0.00204,0.001304,,,,
272,0.014908,0.00204,0.002048,,,,
273,0.014772,0.00204,0.001184,,,,
274,0.015132,0.00204,0.001824,,,,
275,0.015308,0.00204,0.000648,,,,
276,0.014496,0.0013,0.0022,,,,
277,0.014388,0.001304,0.001304,,,,
278,0.014648,0.0013,0.002048,,,,
279,0.0145,0.001304,0.001192,,,,
280,0.014872,0.0013,0.001824,,,,
281,0.014812,0.001304,0.000156,4e-06,4e-06,6.4e-05,0.000652
282,0.014596,0.0022,0.0022,,,,
283,0.014492,0.0022,0.001304,,,,
284,0.014748,0.0022,0.002048,,,,
285,0.014612,0.0022,0.001184,,,,
286,0.014972,0.0022,0.001824,,,,
287,0.015148,0.0022,0.000648,,,,
288,0.01534,0.000536,0.00212,,,,
289,0.015204,0.00054,0.001252,,,,
290,0.015548,0.000536,0.001912,,,,
291,0.015368,0.00054,0.001088,,,,
292,0.015824,0.000536,0.001636,,,,
293,0.015908,0.00054,0.000548,,,,
294,0.0152,0.00166,0.002136,,,,
295,0.015084,0.00166,0.001252,,,,
296,0.015408,0.00166,0.001928,,,,
297,0.015248,0.00166,0.001088,,,,
298,0.015672,0.00166,0.001664,,,,
299,0.015784,0.00166,0.000552,,,,
300,0.014776,0.001084,0.002136,,,,
301,0.014636,0.0011,0.00126,,,,
302,0.014984,0.001084,0.001928,,,,
303,0.014788,0.0011,0.001108,,,,
304,0.015248,0.001084,0.001664,,,,
305,0.015332,0.0011,0.000564,,,,
306,0.014932,0.001928,0.002136,,,,
307,0.014816,0.001928,0.001252,,,,
308,0.01514,0.001928,0.001928,,,,
309,0.01498,0.001928,0.001088,,,,
310,0.015404,0.001928,0.001664,,,,
311,0.015516,0.001928,0.000552,,,,
312,0.014608,0.001252,0.002136,,,,
313,0.01448,0.001256,0.00126,,,,
314,0.014816,0.001252,0.001928,,,,
315,0.014632,0.001256,0.001108,,,,
316,0.01508,0.001252,0.001664,,,,
317,0.015176,0.001256,0.000564,,,,
318,0.014736,0.002124,0.002136,,,,
319,0.014616,0.002128,0.001252,,,,
320,0.014944,0.002124,0.001928,,,,
321,0.01478,0.002128,0.001088,,,,
322,0.015208,0.002124,0.001664,,,,
323,0.015316,0.002128,0.000552,,,,
